title,nama_lagu,region,keyword,duration,url,path
Bungong Jeumpa - Putri Ariani Cover (Lagu Daerah Aceh),Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,160,https://www.youtube.com/watch?v=RjI7W_XmzLM,datasets/songs/bungong_jeumpa_putri_ariani_cover_lagu_daerah_aceh.mp3
Bungong Jeumpa | Lirik dan Terjemahan | Lagu Daerah Aceh | Dongeng Kita,Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,243,https://www.youtube.com/watch?v=lAVi2OE2bRY,datasets/songs/bungong_jeumpa_lirik_dan_terjemahan_lagu_daerah_aceh_dongeng_kita.mp3
Tari Bungong Jeumpa Aceh |Rumah Belajar Mawinsya,Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,210,https://www.youtube.com/watch?v=W3PRdCxocM0,datasets/songs/tari_bungong_jeumpa_aceh_rumah_belajar_mawinsya.mp3
KAKA ALFARISI - BUNGONG JEUMPA (OFFICIAL VIDEO),Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,261,https://www.youtube.com/watch?v=N9JDR0ZH4AU,datasets/songs/kaka_alfarisi_bungong_jeumpa_official_video.mp3
"TARI ""BUNGONG JEUMPA"" BERASAL DARI ACEH",Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,215,https://www.youtube.com/watch?v=3iToqU4LnPU,datasets/songs/tari_bungong_jeumpa_berasal_dari_aceh.mp3
Jambo - Safira Amalia (Official Music Video),Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,254,https://www.youtube.com/watch?v=-biMic3z6wo,datasets/songs/jambo_safira_amalia_official_music_video.mp3
Jambo,Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,258,https://www.youtube.com/watch?v=iPFRN_NODgM,datasets/songs/jambo.mp3
Lagu daerah Aceh - Jambo Jambo,Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,167,https://www.youtube.com/watch?v=Gc49G8mO6ao,datasets/songs/lagu_daerah_aceh_jambo_jambo.mp3
TARIAN ACEH JAMBO JAMBO,Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,258,https://www.youtube.com/watch?v=UStY_f5c6Oo,datasets/songs/tarian_aceh_jambo_jambo.mp3
JAMBO - TARI GARAPAN BARU,Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,191,https://www.youtube.com/watch?v=_uHR84YFbdQ,datasets/songs/jambo_tari_garapan_baru.mp3
