No,Nama Lagu,Asal Daerah
1,Bungong Jeumpa,Aceh
2,Jambo – Jambo,Aceh
3,Lembah Alas,Aceh
4,Aceh Lon Sayang,Aceh
5,Tawar Sedenge,Aceh
6,Aneuk Yatim,Aceh
7,Dewa Ayu,Bali
8,Macepet Cepetan,Bali
9,Mejangeran,Bali
10,Meyong-Meyong,Bali
11,Ngusak Asik,Bali
12,Putri cening Ayu,Bali
13,Tari Bali,Bali
14,Ratu Anom,Bali
15,Nyok Miak,Bangka Belitung
16,Alam Wisata Pulau Bangka,Bangka Belitung
17,Lagu Men Sahang Lah Mirah,Bangka Belitung
18,Nasib Si Bujang Saro,Bangka Belitung
19,Icak-Icak Dek Tau,Bangka Belitung
20,Dayung Sampan,Banten
21,Jereh Bu Guru,Banten
22,Tong Sarakah,Banten
23,Lalan Belek,Bengkulu
24,Sungai Suci,Bengkulu
25,Umang-umang,Bengkulu
26,Pegi Berayak,Bengkulu
27,Pantai Panjang,Bengkulu
28,Ibo,Bengkulu
29,Taneak Tanai,Bengkulu
30,Jibeak Weo,Bengkulu
31,Pantai Malabero,Bengkulu
32,Semulen Keme,Bengkulu
33,Kota Cu’up,Bengkulu
35,Yo Botoi-botoi,Bengkulu
36,Sekundang Setungguan,Bengkulu
37,Ikan Pais,Bengkulu
38,Dabu-Dabu,Gorontalo
39,Binde Biluhuta,Gorontalo
40,Moholunga,Gorontalo
41,Tahuli Li Mama,Gorontalo
42,Yamko Rambe Yamko,Irian Jaya
43,Jali-Jali,Jakarta
44,Keroncong Kemayoran,Jakarta
45,Kicir-Kicir,Jakarta
46,Lenggang Kangkong,Jakarta
47,Ondel Ondel,Jakarta
48,Ronggeng,Jakarta
49,Sirih Kuning,Jakarta
50,Surilang,Jakarta
51,Kelap Kelip,Jakarta
52,Hujan Gerimis,Jakarta
54,Abang Pulang,Jakarta
55,Sang Bango,Jakarta
56,Batanghari,Jambi
57,Dodoi Si Dodoi,Jambi
58,Injit-Injit Semut,Jambi
59,Pinang Muda,Jambi
60,Selendang Mayang,Jambi
61,Timang-Timang Anakku Sayang,Jambi
62,Timang-timang anakku sayang,Jambi
63,Tanduklah Lancip,Jambi
64,Angso Duo,Jambi
65,Orang Kayo Hitam,Jambi
66,Putri Muaro Jambi,Jambi
67,Sarolangun,Jambi
68,Nelayan,Jambi
69,Gadis Rimbo Bujang,Jambi
70,Dagang Manumpang ( Cik Minah ),Jambi
71,Ketimun Bungkuk,Jambi
72,Tanjung Bajure,Jambi
73,Bajing Luncat,Jawa Barat
74,Bubuy Bulan,Jawa Barat
75,Cing Cangkeling,Jawa Barat
76,Es Lilin,Jawa Barat
77,Manuk Dadali,Jawa Barat
78,Neng Geulis,Jawa Barat
79,Nenun,Jawa Barat
80,Panon Hideung,Jawa Barat
81,Pepepling,Jawa Barat
82,Peuyeum Bandung,Jawa Barat
83,Pileuleuyan,Jawa Barat
84,Sapu Nyere Pegat Simpai,Jawa Barat
85,Tokecang,Jawa Barat
86,Warung Pojok,Jawa Barat
87,Badminton,Jawa Barat
88,Bandung,Jawa Barat
89,Cinta Nusa,Jawa Barat
90,Colenak,Jawa Barat
91,Lingkung Lembur,Jawa Barat
92,Raden Dewi Sartika,Jawa Barat
93,Reumbeuy Bandung,Jawa Barat
94,Sabilulungan,Jawa Barat
95,Bapak Pucung,Jawa Tengah
96,Cublak-cublak Suweng,Jawa Tengah
97,Rumah Kita,Jawa Tengah
98,Gek Kepriye,Jawa Tengah
99,Gundhul Pacul,Jawa Tengah
100,Lir-Ilir,Jawa Tengah
101,Jamuran,Jawa Tengah
102,Jaranan,Jawa Tengah
103,Padhang Wulan,Jawa Tengah
104,Gambang Suling,Jawa Tengah
106,lir-llir,Jawa Tengah
109,Ande-ande Lumut,Jawa Tengah
110,Dondong Apa Salak,Jawa Tengah
111,Sekolah,Jawa Tengah
112,Yen Ing Tawang Ono Lintang,Jawa Tengah
113,Stasiun Balapan,Jawa Tengah
114,Kembang Malathe,Jawa Timur
115,Keraban Sape,Jawa Timur
116,Rek Ayo Rek,Jawa Timur
117,Tanduk Majeng,Jawa Timur
118,Gai Bintang,Jawa Timur
120,Lindri,Jawa Timur
121,Grimis-Grimis,Jawa Timur
122,Bapak Tane,Jawa Timur
123,Tanjung Perak,Jawa Timur
124,Ker-Tanoker,Jawa Timur
125,Dhe’ Nong Dhe’ Ne’ Nang,Jawa Timur
126,Set-Seset Maloko’,Jawa Timur
127,Lir-Saalir,Jawa Timur
128,Jan-Anjin,Jawa Timur
129,Daddaliyan,Jawa Timur
130,Din-Dindi’,Jawa Timur
131,Aeng Lema’,Jawa Timur
132,Lar-Olar Kolarjang,Jawa Timur
133,Ko’ Tongko’an Calelet,Jawa Timur
134,Ke’ Rangke’ Kakonengan,Jawa Timur
135,Ko Soko Bibir,Jawa Timur
136,Po’-Kopo’ Ame-Ame,Jawa Timur
137,La Illa Haillalla,Jawa Timur
138,Mon-Temmon Buko,Jawa Timur
139,Lelle Nareyo,Jawa Timur
140,Ba Baba Bulan,Jawa Timur
141,Dipadhi Cemplo Lo’ling,Jawa Timur
142,Cing Kincing Kere’,Jawa Timur
143,Bing Ana’,Jawa Timur
146,Cik Cik Periuk,Kalimantan Barat
147,Aek Kapuas,Kalimantan Barat
148,Masjid Jami’,Kalimantan Barat
149,Alon-Alon,Kalimantan Barat
150,Kapal Belon,Kalimantan Barat
151,Sungai Kapuas,Kalimantan Barat
152,Antare Kapuas – Landak,Kalimantan Barat
153,Alok Galing,Kalimantan Barat
154,Bantelan,Kalimantan Barat
155,Batu Balah,Kalimantan Barat
156,Bujang Nadi,Kalimantan Barat
157,Ca’ Uncang,Kalimantan Barat
158,Dare Sibarang,Kalimantan Barat
159,Darilah Saing,Kalimantan Barat
160,Dimane Kucare,Kalimantan Barat
161,Kaing Lunggi,Kalimantan Barat
162,Passan Dolo’,Kalimantan Barat
163,Ruwai,Kalimantan Barat
164,Salah Pengambean,Kalimantan Barat
165,Salo’,Kalimantan Barat
166,Simbe Rapian,Kalimantan Barat
167,Simirante,Kalimantan Barat
168,Sungai Sambas Kebanjiran,Kalimantan Barat
169,Tamasya ke Danau Sebedang,Kalimantan Barat
170,Tamlalai,Kalimantan Barat
171,Tikanang Urang Tue,Kalimantan Barat
172,Ting Kededai,Kalimantan Barat
173,Tandak Sambas,Kalimantan Barat
174,Ampar-Ampar Pisang,Kalimantan Selatan
175,Paris Barantai,Kalimantan Selatan
176,Saputangan Bapuncu Ampat,Kalimantan Selatan
177,Anak Pipit,Kalimantan Selatan
178,Ayun Apan,Kalimantan Selatan
179,Japin  Rantauan,Kalimantan Selatan
180,Musik Panting,Kalimantan Selatan
181,Tirik Lalan,Kalimantan Selatan
182,Halin,Kalimantan Selatan
183,Mandung – Mandung,Kalimantan Selatan
184,Tirik,Kalimantan Selatan
185,Ta’ingat Kasih,Kalimantan Selatan
186,Siti Zubaidah,Kalimantan Selatan
187,Kurihing Balu,Kalimantan Selatan
188,Bajanji Hati,Kalimantan Selatan
189,Pulau Pandan,Kalimantan Selatan
190,Guna Guna Nikitak,Kalimantan Selatan
191,Hincang Hincang,Kalimantan Selatan
192,Talanjur Batunangan,Kalimantan Selatan
193,Batawak Pantun,Kalimantan Selatan
194,Badindang Ria,Kalimantan Selatan
195,Alahai Sayang,Kalimantan Selatan
196,Paris Tangkawang,Kalimantan Selatan
197,Mamuai Wanyi,Kalimantan Selatan
198,Ampat Lima,Kalimantan Selatan
199,Kakamban Habang,Kalimantan Selatan
200,Curiak,Kalimantan Selatan
201,Baras Kuning,Kalimantan Selatan
202,Si Jantung Hati,Kalimantan Selatan
203,Jangan Manangis,Kalimantan Selatan
204,Amas Mirah,Kalimantan Selatan
205,Kampung Barikin,Kalimantan Selatan
206,Kambang Goyang,Kalimantan Selatan
207,Dindang,Kalimantan Selatan
208,Lancang Kuning,Kalimantan Selatan
209,Tari Bagandang,Kalimantan Selatan
210,Karana Janji,Kalimantan Selatan
211,Tirik Anak Lapan,Kalimantan Selatan
212,Syair Radap Rahayu,Kalimantan Selatan
