title,nama_lagu,region,keyword,duration,url,path,wav_path
Bungong Jeumpa - Putri Ariani Cover (Lagu Daerah Aceh),Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,160,https://www.youtube.com/watch?v=RjI7W_XmzLM,datasets/songs/bungong_jeumpa_putri_ariani_cover_lagu_daerah_aceh.mp3,datasets/wav_songs/bungong_jeumpa_putri_ariani_cover_lagu_daerah_aceh.wav
Bungong Jeumpa | Lirik dan Terjemahan | Lagu Daerah Aceh | Dongeng Kita,Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,243,https://www.youtube.com/watch?v=lAVi2OE2bRY,datasets/songs/bungong_jeumpa_lirik_dan_terjemahan_lagu_daerah_aceh_dongeng_kita.mp3,datasets/wav_songs/bungong_jeumpa_lirik_dan_terjemahan_lagu_daerah_aceh_dongeng_kita.wav
Tari Bungong Jeumpa Aceh |Rumah Belajar Mawinsya,Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,210,https://www.youtube.com/watch?v=W3PRdCxocM0,datasets/songs/tari_bungong_jeumpa_aceh_rumah_belajar_mawinsya.mp3,datasets/wav_songs/tari_bungong_jeumpa_aceh_rumah_belajar_mawinsya.wav
"TARI ""BUNGONG JEUMPA"" BERASAL DARI ACEH",Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,215,https://www.youtube.com/watch?v=3iToqU4LnPU,datasets/songs/tari_bungong_jeumpa_berasal_dari_aceh.mp3,datasets/wav_songs/tari_bungong_jeumpa_berasal_dari_aceh.wav
KAKA ALFARISI - BUNGONG JEUMPA (OFFICIAL VIDEO),Bungong Jeumpa,Aceh,Bungong Jeumpa asal Aceh,261,https://www.youtube.com/watch?v=N9JDR0ZH4AU,datasets/songs/kaka_alfarisi_bungong_jeumpa_official_video.mp3,datasets/wav_songs/kaka_alfarisi_bungong_jeumpa_official_video.wav
Jambo Jambo - Lagu Daerah Aceh (dengan Lirik),Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,317,https://www.youtube.com/watch?v=gPhNLg_BcR0,datasets/songs/jambo_jambo_lagu_daerah_aceh_dengan_lirik.mp3,datasets/wav_songs/jambo_jambo_lagu_daerah_aceh_dengan_lirik.wav
Jambo - Safira Amalia (Official Music Video),Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,254,https://www.youtube.com/watch?v=-biMic3z6wo,datasets/songs/jambo_safira_amalia_official_music_video.mp3,datasets/wav_songs/jambo_safira_amalia_official_music_video.wav
Video Lirik Lagu Daerah | Jambo-Jambo,Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,321,https://www.youtube.com/watch?v=azbXY32RPpQ,datasets/songs/video_lirik_lagu_daerah_jambojambo.mp3,datasets/wav_songs/video_lirik_lagu_daerah_jambojambo.wav
TARIAN ACEH JAMBO JAMBO,Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,258,https://www.youtube.com/watch?v=UStY_f5c6Oo,datasets/songs/tarian_aceh_jambo_jambo.mp3,datasets/wav_songs/tarian_aceh_jambo_jambo.wav
Jambo,Jambo – Jambo,Aceh,Jambo – Jambo asal Aceh,258,https://www.youtube.com/watch?v=iPFRN_NODgM,datasets/songs/jambo.mp3,datasets/wav_songs/jambo.wav
LAGU ALAS ACEH TENGGRA SANIMAH SULAI - LEMBAH ALAS,Lembah Alas,Aceh,Lembah Alas asal Aceh,408,https://www.youtube.com/watch?v=kdc2Gp88FqA,datasets/songs/lagu_alas_aceh_tenggra_sanimah_sulai_lembah_alas.mp3,datasets/wav_songs/lagu_alas_aceh_tenggra_sanimah_sulai_lembah_alas.wav
Lembah Alas - Lagu Daerah Aceh (dengan Lirik),Lembah Alas,Aceh,Lembah Alas asal Aceh,149,https://www.youtube.com/watch?v=uRl5Y79ooN0,datasets/songs/lembah_alas_lagu_daerah_aceh_dengan_lirik.mp3,datasets/wav_songs/lembah_alas_lagu_daerah_aceh_dengan_lirik.wav
LEMBAH ALAS - LAGU DAERAH ACEH - Enjoy Pesona Musik Indonesia,Lembah Alas,Aceh,Lembah Alas asal Aceh,255,https://www.youtube.com/watch?v=mQMCtOqiyi8,datasets/songs/lembah_alas_lagu_daerah_aceh_enjoy_pesona_musik_indonesia.mp3,datasets/wav_songs/lembah_alas_lagu_daerah_aceh_enjoy_pesona_musik_indonesia.wav
Lembah Alas Lirik Lagu Alas,Lembah Alas,Aceh,Lembah Alas asal Aceh,249,https://www.youtube.com/watch?v=uH6j3aDcsOk,datasets/songs/lembah_alas_lirik_lagu_alas.mp3,datasets/wav_songs/lembah_alas_lirik_lagu_alas.wav
Lembah alas lagu daerah,Lembah Alas,Aceh,Lembah Alas asal Aceh,382,https://www.youtube.com/watch?v=HGbIJJt7Ylo,datasets/songs/lembah_alas_lagu_daerah.mp3,datasets/wav_songs/lembah_alas_lagu_daerah.wav
Aceh Lon Sayang - Lagu Daerah Aceh (Lirik dan Terjemahan),Aceh Lon Sayang,Aceh,Aceh Lon Sayang asal Aceh,180,https://www.youtube.com/watch?v=Qjzn5eS_ns0,datasets/songs/aceh_lon_sayang_lagu_daerah_aceh_lirik_dan_terjemahan.mp3,datasets/wav_songs/aceh_lon_sayang_lagu_daerah_aceh_lirik_dan_terjemahan.wav
Lagu Aceh Lon Sayang - Lagu Daerah Aceh,Aceh Lon Sayang,Aceh,Aceh Lon Sayang asal Aceh,154,https://www.youtube.com/watch?v=EdxTgk-Jo-Q,datasets/songs/lagu_aceh_lon_sayang_lagu_daerah_aceh.mp3,datasets/wav_songs/lagu_aceh_lon_sayang_lagu_daerah_aceh.wav
Aceh Lon Sayang ( Lagu Aceh ),Aceh Lon Sayang,Aceh,Aceh Lon Sayang asal Aceh,152,https://www.youtube.com/watch?v=eYEk3z14t70,datasets/songs/aceh_lon_sayang_lagu_aceh_.mp3,datasets/wav_songs/aceh_lon_sayang_lagu_aceh_.wav
Mohderzam feat. Cut Rani Auliza - Sayang Rindu (Official Music Video),Aceh Lon Sayang,Aceh,Aceh Lon Sayang asal Aceh,328,https://www.youtube.com/watch?v=CdqnwShAdAQ,datasets/songs/mohderzam_feat_cut_rani_auliza_sayang_rindu_official_music_video.mp3,datasets/wav_songs/mohderzam_feat_cut_rani_auliza_sayang_rindu_official_music_video.wav
ACEH LON SAYANG  -  KHASYAFANY,Aceh Lon Sayang,Aceh,Aceh Lon Sayang asal Aceh,306,https://www.youtube.com/watch?v=mogoIVY3rL0,datasets/songs/aceh_lon_sayang_khasyafany.mp3,datasets/wav_songs/aceh_lon_sayang_khasyafany.wav
Video Lirik Lagu Daerah | Tawar Sedenge,Tawar Sedenge,Aceh,Tawar Sedenge asal Aceh,337,https://www.youtube.com/watch?v=hTtk9dCxTKA,datasets/songs/video_lirik_lagu_daerah_tawar_sedenge.mp3,datasets/wav_songs/video_lirik_lagu_daerah_tawar_sedenge.wav
Tawar Sedenge lirik,Tawar Sedenge,Aceh,Tawar Sedenge asal Aceh,328,https://www.youtube.com/watch?v=iS-bGEA79hU,datasets/songs/tawar_sedenge_lirik.mp3,datasets/wav_songs/tawar_sedenge_lirik.wav
Tawar Sedenge - Lagu Wajib Aceh Tengah - AR. Moese - Orchestra,Tawar Sedenge,Aceh,Tawar Sedenge asal Aceh,174,https://www.youtube.com/watch?v=06naRiT-Q8Y,datasets/songs/tawar_sedenge_lagu_wajib_aceh_tengah_ar_moese_orchestra.mp3,datasets/wav_songs/tawar_sedenge_lagu_wajib_aceh_tengah_ar_moese_orchestra.wav
Lagu Gayo ~ Tawar Sedenge,Tawar Sedenge,Aceh,Tawar Sedenge asal Aceh,368,https://www.youtube.com/watch?v=rhf_wOmWfYI,datasets/songs/lagu_gayo_tawar_sedenge.mp3,datasets/wav_songs/lagu_gayo_tawar_sedenge.wav
Tawar Sedenge - Moese | Lagu Gayo Jemen,Tawar Sedenge,Aceh,Tawar Sedenge asal Aceh,370,https://www.youtube.com/watch?v=wLZXGSNy4CM,datasets/songs/tawar_sedenge_moese_lagu_gayo_jemen.mp3,datasets/wav_songs/tawar_sedenge_moese_lagu_gayo_jemen.wav
Rafly Kande - Aneuk Yatim (Anak Yatim),Aneuk Yatim,Aceh,Aneuk Yatim asal Aceh,344,https://www.youtube.com/watch?v=0X5usSHl6xs,datasets/songs/rafly_kande_aneuk_yatim_anak_yatim.mp3,datasets/wav_songs/rafly_kande_aneuk_yatim_anak_yatim.wav
"Heboh,,,,,,,Rafli bikin orang nangis satu studio",Aneuk Yatim,Aceh,Aneuk Yatim asal Aceh,118,https://www.youtube.com/watch?v=mhPtzHNgAVY,datasets/songs/hebohrafli_bikin_orang_nangis_satu_studio.mp3,datasets/wav_songs/hebohrafli_bikin_orang_nangis_satu_studio.wav
Lagu Aceh Terbaik - Aneuk Yatim Lirik (Rafli),Aneuk Yatim,Aceh,Aneuk Yatim asal Aceh,293,https://www.youtube.com/watch?v=-Ib7kpv41HU,datasets/songs/lagu_aceh_terbaik_aneuk_yatim_lirik_rafli.mp3,datasets/wav_songs/lagu_aceh_terbaik_aneuk_yatim_lirik_rafli.wav
🔴 SEMUA MENANGIS MENDENGAR LAGU INI 😭 Rafly KanDe || ANEUK YATIM || KONSER LIVE || Official Video,Aneuk Yatim,Aceh,Aneuk Yatim asal Aceh,328,https://www.youtube.com/watch?v=19Ypm2J8bRw,datasets/songs/_semua_menangis_mendengar_lagu_ini_rafly_kande_aneuk_yatim_konser_live_official_video.mp3,datasets/wav_songs/_semua_menangis_mendengar_lagu_ini_rafly_kande_aneuk_yatim_konser_live_official_video.wav
aneuk yatim,Aneuk Yatim,Aceh,Aneuk Yatim asal Aceh,298,https://www.youtube.com/watch?v=nmdia-ZwQvI,datasets/songs/aneuk_yatim.mp3,datasets/wav_songs/aneuk_yatim.wav
Dewa Ayu,Dewa Ayu,Bali,Dewa Ayu asal Bali,151,https://www.youtube.com/watch?v=HeJ0zxessWM,datasets/songs/dewa_ayu.mp3,datasets/wav_songs/dewa_ayu.wav
Tari Dewa Ayu - Tiga Generasi,Dewa Ayu,Bali,Dewa Ayu asal Bali,334,https://www.youtube.com/watch?v=eqrv3L4Wy2U,datasets/songs/tari_dewa_ayu_tiga_generasi.mp3,datasets/wav_songs/tari_dewa_ayu_tiga_generasi.wav
Dewa Ayu  - Lagu Rakyat Bali,Dewa Ayu,Bali,Dewa Ayu asal Bali,240,https://www.youtube.com/watch?v=UMJuAPPcfbw,datasets/songs/dewa_ayu_lagu_rakyat_bali.mp3,datasets/wav_songs/dewa_ayu_lagu_rakyat_bali.wav
#not dewa ayu ( lagu ) - lagu daerah bali,Dewa Ayu,Bali,Dewa Ayu asal Bali,158,https://www.youtube.com/watch?v=UMuAeOEsiTo,datasets/songs/not_dewa_ayu_lagu_lagu_daerah_bali.mp3,datasets/wav_songs/not_dewa_ayu_lagu_lagu_daerah_bali.wav
Dewa Ayu,Dewa Ayu,Bali,Dewa Ayu asal Bali,180,https://www.youtube.com/watch?v=jNHdHgA9lw4,datasets/songs/dewa_ayu.mp3,datasets/wav_songs/dewa_ayu.wav
Video Lirik Lagu Daerah | Macepet-cepetan,Macepet Cepetan,Bali,Macepet Cepetan asal Bali,285,https://www.youtube.com/watch?v=GXaelOYq9y8,datasets/songs/video_lirik_lagu_daerah_macepetcepetan.mp3,datasets/wav_songs/video_lirik_lagu_daerah_macepetcepetan.wav
"lagu rare bali ""macepet-cepetan""",Macepet Cepetan,Bali,Macepet Cepetan asal Bali,285,https://www.youtube.com/watch?v=iBH8cjcd778,datasets/songs/lagu_rare_bali_macepetcepetan.mp3,datasets/wav_songs/lagu_rare_bali_macepetcepetan.wav
Macepet cepetan // Lagu Daerah Bali,Macepet Cepetan,Bali,Macepet Cepetan asal Bali,141,https://www.youtube.com/watch?v=8xj_jRWbIrY,datasets/songs/macepet_cepetan_lagu_daerah_bali.mp3,datasets/wav_songs/macepet_cepetan_lagu_daerah_bali.wav
Lagu Daerah Bali - Macepet-cepetan (lirik lagu),Macepet Cepetan,Bali,Macepet Cepetan asal Bali,274,https://www.youtube.com/watch?v=T4Ckgc-HTSo,datasets/songs/lagu_daerah_bali_macepetcepetan_lirik_lagu.mp3,datasets/wav_songs/lagu_daerah_bali_macepetcepetan_lirik_lagu.wav
Macepet Cepetan | Nyepi BKN 2022,Macepet Cepetan,Bali,Macepet Cepetan asal Bali,167,https://www.youtube.com/watch?v=ye5XZf3gBtY,datasets/songs/macepet_cepetan_nyepi_bkn_2022.mp3,datasets/wav_songs/macepet_cepetan_nyepi_bkn_2022.wav
MEJANGERAN | Lagu Daerah Bali | Diva bernyanyi | Diva The Series Official,Mejangeran,Bali,Mejangeran asal Bali,255,https://www.youtube.com/watch?v=89HbVO0fzBE,datasets/songs/mejangeran_lagu_daerah_bali_diva_bernyanyi_diva_the_series_official.mp3,datasets/wav_songs/mejangeran_lagu_daerah_bali_diva_bernyanyi_diva_the_series_official.wav
